epoch,step,train_acc,train_loss,val_acc,val_loss
0,1,,,0.5317073464393616,1.0389753580093384
0,1,0.5006105303764343,1.1730067729949951,,
1,3,,,0.5463414788246155,0.9590686559677124
1,3,0.5189255475997925,1.1109652519226074,,
2,5,,,0.4878048896789551,0.944153368473053
2,5,0.49450549483299255,1.0757101774215698,,
3,7,,,0.4682926833629608,0.9404810667037964
3,7,0.5409035682678223,1.009040117263794,,
4,9,,,0.5365853905677795,0.8222754597663879
4,9,0.5567765831947327,0.8974025249481201,,
5,11,,,0.5512195229530334,0.7975069880485535
5,11,0.5799756050109863,0.7920032739639282,,
6,13,,,0.5414634346961975,0.7583327293395996
6,13,0.6056166291236877,0.7179257869720459,,
7,15,,,0.5219511985778809,0.7357766032218933
7,15,0.6568986773490906,0.6437383890151978,,
8,17,,,0.5658536553382874,0.728478729724884
8,17,0.6739926934242249,0.597822904586792,,
9,19,,,0.5609756112098694,0.7676877379417419
9,19,0.7448107600212097,0.5020813941955566,,
10,21,,,0.5609756112098694,0.7851485013961792
10,21,0.7948718070983887,0.4366540014743805,,
11,23,,,0.5756097435951233,0.763343334197998
11,23,0.8290598392486572,0.40146130323410034,,
12,25,,,0.5609756112098694,0.7948649525642395
12,25,0.8571428656578064,0.35356682538986206,,
13,27,,,0.5707316994667053,0.8199306726455688
13,27,0.8730158805847168,0.3082444965839386,,
14,29,,,0.5804877877235413,0.864327609539032
14,29,0.9230769276618958,0.24012479186058044,,
15,31,,,0.5804877877235413,0.887995719909668
15,31,0.9291819334030151,0.20429924130439758,,
16,33,,,0.5853658318519592,0.9333442449569702
16,33,0.9426129460334778,0.16377303004264832,,
17,35,,,0.5804877877235413,0.9869403839111328
17,35,0.9572649598121643,0.13703720271587372,,
18,37,,,0.5853658318519592,1.0365774631500244
18,37,0.9694749712944031,0.11327280849218369,,
19,39,,,0.5756097435951233,1.0620498657226562
19,39,0.9731379747390747,0.09090007096529007,,
20,41,,,0.5804877877235413,1.0730977058410645
20,41,0.9792429804801941,0.07767507433891296,,
21,43,,,0.5707316994667053,1.0793946981430054
21,43,0.9743589758872986,0.07807524502277374,,
22,45,,,0.5658536553382874,1.0839101076126099
22,45,0.980463981628418,0.06647075712680817,,
23,47,,,0.5658536553382874,1.0856388807296753
23,47,0.9768009781837463,0.07697217911481857,,
24,49,,,0.5658536553382874,1.085781216621399
24,49,0.9768009781837463,0.07452092319726944,,
