epoch,step,train_acc,train_loss,val_acc,val_loss
0,1,,,0.507317066192627,0.9458363652229309
0,1,0.5311355590820312,0.9826402068138123,,
1,3,,,0.5219511985778809,0.8896646499633789
1,3,0.5079365372657776,0.9974676966667175,,
2,5,,,0.5560975670814514,0.8111113905906677
2,5,0.5360195636749268,0.9019336700439453,,
3,7,,,0.5560975670814514,0.7723610401153564
3,7,0.5750916004180908,0.7835560441017151,,
4,9,,,0.5756097435951233,0.7263123989105225
4,9,0.5909646153450012,0.7337095141410828,,
5,11,,,0.5951219797134399,0.7026544809341431
5,11,0.6105006337165833,0.6750036478042603,,
6,13,,,0.5853658318519592,0.7219281196594238
6,13,0.6862027049064636,0.580943763256073,,
7,15,,,0.5609756112098694,0.7506130933761597
7,15,0.7045177221298218,0.5580233335494995,,
8,17,,,0.6195122003555298,0.6786779761314392
8,17,0.7374847531318665,0.5288075804710388,,
9,19,,,0.6243902444839478,0.658944308757782
9,19,0.7838827967643738,0.4616214334964752,,
10,21,,,0.6243902444839478,0.6623054146766663
10,21,0.8205128312110901,0.43333664536476135,,
11,23,,,0.6536585092544556,0.660959005355835
11,23,0.8290598392486572,0.42005714774131775,,
12,25,,,0.6536585092544556,0.661655843257904
12,25,0.8290598392486572,0.3965059220790863,,
13,27,,,0.6487804651260376,0.6628677845001221
13,27,0.8253968358039856,0.4061126410961151,,
14,29,,,0.6439024209976196,0.6630101799964905
14,29,0.8327228426933289,0.38357487320899963,,
